FixationIndex	Timestamp	FixationDuration	FixationPointX	FixationPointY	StimuliName
148	50758	179	626	226	www.godaddy.com
149	50938	259	723	234	www.godaddy.com
150	51197	259	856	237	www.godaddy.com
151	51456	180	595	193	www.godaddy.com
152	51636	279	506	177	www.godaddy.com
153	51915	379	443	219	www.godaddy.com
154	52293	559	396	240	www.godaddy.com
155	52852	159	285	448	www.godaddy.com
156	53011	279	436	423	www.godaddy.com
157	53290	1416	375	236	www.godaddy.com
158	54706	718	621	237	www.godaddy.com
159	55424	219	467	565	ScreenRec
160	55643	139	738	815	ScreenRec
161	55782	957	793	787	uk.yahoo.com
162	56740	159	619	457	uk.yahoo.com
163	56899	140	544	260	uk.yahoo.com
164	57039	578	564	206	uk.yahoo.com
165	57617	259	851	554	uk.yahoo.com
166	57876	598	564	196	uk.yahoo.com
167	58474	160	410	187	uk.yahoo.com
168	58634	219	288	175	uk.yahoo.com
169	58853	199	228	180	uk.yahoo.com
170	59052	140	529	170	uk.yahoo.com
171	59192	319	479	26	uk.yahoo.com
172	59511	538	233	10	uk.yahoo.com
173	60049	319	441	-6	ScreenRec
174	60368	339	865	58	uk.yahoo.com
175	60707	179	489	84	uk.yahoo.com
176	60886	219	319	52	uk.yahoo.com
177	61106	219	510	293	uk.yahoo.com
178	61325	279	437	298	uk.yahoo.com
179	61604	299	534	219	uk.yahoo.com
180	61903	199	338	221	uk.yahoo.com
181	62102	299	256	261	uk.yahoo.com
182	62402	319	429	279	uk.yahoo.com
183	62721	299	460	384	uk.yahoo.com
184	63020	199	482	492	uk.yahoo.com
185	63219	339	476	328	uk.yahoo.com
186	63678	339	427	284	uk.yahoo.com
187	64017	399	506	304	uk.yahoo.com
188	64415	319	419	308	uk.yahoo.com
189	64734	419	440	528	uk.yahoo.com
190	65153	239	478	494	uk.yahoo.com
191	65392	439	418	534	uk.yahoo.com
192	65831	359	456	289	uk.yahoo.com
193	66190	359	400	301	uk.yahoo.com
194	66549	458	610	309	uk.yahoo.com
195	67007	478	471	303	uk.yahoo.com
196	67486	239	427	286	uk.yahoo.com
197	67725	319	382	278	uk.yahoo.com
198	68044	239	425	409	uk.yahoo.com
199	68283	877	490	422	uk.yahoo.com
